,incident_date,incident_parent,location,neighborhood,council_district,police_district
3993,2020-12-20 00:00:00,Sexual Offense,-78.888 42.914,West Side,NIAGARA,District B
3994,2020-12-20 00:00:00,Sexual Offense,-78.802 42.847,Seneca-Cazenovia,SOUTH,District A
3995,2020-12-20 00:45:00,Breaking & Entering,-78.802 42.931,Kenfield,UNIVERSITY,District E
3996,2020-12-20 01:30:00,Assault,-78.869 42.957,North Park,NORTH,District D
3997,2020-12-20 04:00:00,Theft,-78.8 42.916,Schiller Park,LOVEJOY,District C
3998,2020-12-20 04:38:00,Assault,-78.829 42.938,Fillmore-Leroy,MASTEN,District E
3999,2020-12-20 06:00:00,Theft,-78.829 42.922,Delavan Grider,MASTEN,District E
4000,2020-12-20 07:00:00,Breaking & Entering,-78.878 42.924,Elmwood Bidwell,DELAWARE,District D
4001,2020-12-20 08:00:00,Sexual Offense,-78.87 42.909,Elmwood Bryant,ELLICOTT,District B
4002,2020-12-20 09:45:00,Assault,-78.834 42.869,Seneca Babcock,LOVEJOY,District A
4003,2020-12-20 10:00:00,Sexual Offense,-78.891 42.917,Upper West Side,NIAGARA,District D
4004,2020-12-20 10:44:00,Assault,-78.82 42.935,University Heights,UNIVERSITY,District E
4005,2020-12-20 11:00:00,Sexual Offense,-78.889 42.914,Upper West Side,NIAGARA,District B
4006,2020-12-20 12:45:00,Theft,-78.825 42.917,Delavan Grider,MASTEN,District E
4007,2020-12-20 12:58:00,Theft,-78.824 42.947,University Heights,UNIVERSITY,District E
4008,2020-12-20 13:35:00,Theft,-78.828 42.855,Hopkins-Tifft,LOVEJOY,District A
4009,2020-12-20 15:00:00,Breaking & Entering,-78.822 42.917,Delavan Grider,MASTEN,District E
4010,2020-12-20 15:44:00,Robbery,-78.814 42.927,Kenfield,MASTEN,District E
4011,2020-12-20 16:10:00,Theft,-78.877 42.905,Elmwood Bryant,NIAGARA,District B
4012,2020-12-20 16:13:00,Sexual Offense,-78.807 42.895,Lovejoy,LOVEJOY,District C
4013,2020-12-20 16:20:00,Breaking & Entering,-78.882 42.897,Lower West Side,FILLMORE,District B
4014,2020-12-20 17:00:00,Assault,-78.899 42.94,Black Rock,NORTH,District D
4015,2020-12-20 17:00:00,Breaking & Entering,-78.825 42.917,Delavan Grider,MASTEN,District E
4016,2020-12-20 17:30:00,Assault,-78.892 42.917,Upper West Side,NIAGARA,District D
4017,2020-12-20 18:30:00,Breaking & Entering,-78.89 42.919,Upper West Side,NIAGARA,District D
4018,2020-12-20 19:24:00,Sexual Offense,-78.89 42.919,Upper West Side,NIAGARA,District D
4019,2020-12-20 20:06:00,Assault,-78.868 42.914,Elmwood Bryant,ELLICOTT,District B
4020,2020-12-20 20:13:00,Sexual Offense,-78.862 42.922,Elmwood Bidwell,ELLICOTT,District D
4021,2020-12-20 20:21:00,Sexual Offense,-78.842 42.948,Central Park,DELAWARE,District D
4022,2020-12-20 21:00:00,Sexual Offense,-78.861 42.895,Fruit Belt,ELLICOTT,District B
4023,2020-12-20 21:03:00,Assault,-78.902 42.952,Riverside,NORTH,District D
4024,2020-12-20 21:12:00,Sexual Offense,-78.874 42.955,North Park,NORTH,District D
4025,2020-12-20 22:11:00,Assault,-78.867 42.872,Ellicott,FILLMORE,District A
4026,2020-12-21 00:25:00,Assault,-78.807 42.93,Kenfield,UNIVERSITY,District E
4027,2020-12-21 00:51:00,Robbery,-78.876 42.919,Elmwood Bidwell,DELAWARE,District D
4028,2020-12-21 00:57:00,Robbery,-78.883 42.909,Elmwood Bryant,NIAGARA,District B
4029,2020-12-21 01:47:00,Theft,-78.888 42.939,Grant-Amherst,NORTH,District D
4030,2020-12-21 02:00:00,Assault,-78.845 42.907,Kensington-Bailey,UNIVERSITY,District E
4031,2020-12-21 02:17:00,Breaking & Entering,-78.877 42.924,Elmwood Bidwell,DELAWARE,District D
4032,2020-12-21 02:50:00,Sexual Assault,-78.809 42.93,Kenfield,UNIVERSITY,District E
4033,2020-12-21 04:06:00,Assault,-78.823 42.843,South Park,SOUTH,District A
4034,2020-12-21 04:55:00,Sexual Offense,-78.906 42.957,Riverside,NORTH,District D
4035,2020-12-21 08:00:00,Sexual Offense,-78.802 42.931,Kenfield,UNIVERSITY,District E
4036,2020-12-21 08:30:00,Assault,-78.827 42.915,Schiller Park,LOVEJOY,District E
4037,2020-12-21 09:15:00,Theft,-78.899 42.94,Black Rock,NORTH,District D
4038,2020-12-21 09:21:00,Sexual Offense,-78.874 42.955,North Park,NORTH,District D
4039,2020-12-21 09:26:00,Sexual Offense,-78.887 42.903,West Side,NIAGARA,District B
4040,2020-12-21 09:35:00,Sexual Offense,-78.833 42.857,Hopkins-Tifft,SOUTH,District A
4041,2020-12-21 10:00:00,Sexual Offense,-78.844 42.958,North Park,DELAWARE,District D
4042,2020-12-21 11:15:00,Sexual Offense,-78.876 42.884,Central,ELLICOTT,District B
4043,2020-12-21 11:18:00,Sexual Offense,-78.897 42.955,Riverside,NORTH,District D
4044,2020-12-21 12:00:00,Sexual Offense,-78.738 42.832,Central,FILLMORE,District B
4045,2020-12-21 12:16:00,Sexual Offense,-78.825 42.931,Fillmore-Leroy,MASTEN,District E
4046,2020-12-21 12:28:00,Theft,-78.82 42.854,South Park,SOUTH,District A
4047,2020-12-21 12:36:00,Sexual Offense,-78.834 42.939,Fillmore-Leroy,MASTEN,District E
4048,2020-12-21 13:00:00,Sexual Offense,-78.864 42.891,Pratt-Willert,ELLICOTT,District B
4049,2020-12-21 13:03:00,Sexual Offense,-78.896 42.899,West Side,ELLICOTT,District B
4050,2020-12-21 13:38:00,Sexual Offense,-78.808 42.937,Kensington-Bailey,UNIVERSITY,District E
4051,2020-12-21 14:25:00,Sexual Offense,-78.819 42.957,University Heights,UNIVERSITY,District E
4052,2020-12-21 15:00:00,Breaking & Entering,-78.822 42.894,Lovejoy,FILLMORE,District C
4053,2020-12-21 15:13:00,Theft,-78.882 42.911,Elmwood Bryant,NIAGARA,District B
4054,2020-12-21 16:46:00,Sexual Offense,-78.816 42.94,Kensington-Bailey,MASTEN,District E
4055,2020-12-21 16:58:00,Sexual Offense,-78.904 42.951,Riverside,NORTH,District D
4056,2020-12-21 17:15:00,Sexual Offense,-78.824 42.841,Hopkins-Tifft,SOUTH,District A
4057,2020-12-21 18:00:00,Sexual Offense,-78.82 42.846,South Park,SOUTH,District A
4058,2020-12-21 18:00:00,Breaking & Entering,-78.864 42.944,Parkside,DELAWARE,District D
